"","date","user_id","type","value"
"912",493,32,4,2.576430798
"913",2267,59,4,4
"914",3607,97,4,3.04
"915",1088,45,4,3.352331161
"916",3537,59,4,1.28
"917",4652,59,4,2
"918",2150,48,2,2.48
"919",2209,64,2,0.748019934
"920",2442,59,4,1.4000001
"921",681,50,4,3.44898963
"922",453,80,3,1.3199999
"923",1502,17,4,4
"924",1432,85,2,1.534739256
"925",1561,60,4,1.3599999
"926",2907,43,2,0
"927",924,10,2,1.432108164
"928",86,10,2,1.058768511
"929",984,19,2,3.92
"930",704,90,4,2
"931",2516,72,4,2.862366676
"932",894,60,1,3.683806658
"933",1853,83,4,3.96
"934",1843,17,2,2
"935",2968,26,2,3.231533051
"936",3394,33,4,1.974199057
"937",1536,33,3,0.790905237
"938",2530,66,2,2.2
"939",1148,10,4,3
"940",3796,56,3,3
"941",2458,8,2,1.82437253
"942",1694,60,4,4
"943",3031,89,4,2
"944",1238,56,2,3
"945",197,33,2,4
"946",3199,33,2,3.0327003
"947",2542,46,4,3.393587589
"948",892,53,1,3.08
"949",1478,60,4,0
"950",564,52,1,3.96
"951",1504,33,1,2.8400002
"952",2342,40,1,3.2
"953",3526,4,2,2.08
"954",964,59,4,3.96
"955",4405,59,4,1.660959244
"956",3070,9,2,2
"957",4231,83,2,3.92
"958",4662,62,4,1.28
"959",2232,98,2,0
"960",3826,33,2,3.875999689
"961",3293,59,2,4
"962",3476,80,4,0.03999996
"963",2177,55,2,2
"964",225,54,2,3
"965",4039,32,2,2.48
"966",1299,96,2,1.217346907
"967",2588,39,1,1.4000001
"968",1706,66,4,3.6
"969",1909,45,2,1.6400001
"970",2497,22,3,1.130684853
"971",1768,33,2,2.137375355
"972",3892,1,3,3.2
"973",1290,34,2,2.4
"974",2192,47,4,1
"975",1973,83,4,1.44
"976",2841,14,4,1.9200001
"977",3445,59,2,3.931107044
"978",2137,24,2,2.56
"979",741,72,4,1.854102612
"980",3931,52,4,2
"981",2182,34,2,2
"982",998,60,4,3.32
"983",245,4,4,1.52
